Volatility 3 Framework 2.12.0

Offset	Name
0x4b6b680	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-TerminalServices-UsbRedirector-Package~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0x4b6bcd0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-GroupPolicy-ServerTools-Package~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0x51dd2a0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-NetFx3-WCF-OC-Package~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x529f4f0	\$Directory
0x529f860	\$Directory
0x529fcf0	\Windows\assembly\NativeImages_v4.0.30319_64\System.Web.4961ff77#\4cef37db5fdd308140e98356c55bc0c2\System.Web.Entity.Design.ni.dll
0x551f050	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Server-Gui-RSAT-Package-base~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0x551f2c0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Server-Gui-RSAT-Package-net~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x58d33e0	\$Directory
0x58d3650	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-IdentityServer-STS-Package~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0x594a230	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ServerCore-WOW64-Package-enduser~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0x594a5b0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ServerCore-WOW64-Package-enduser~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x594a880	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Internet-Naming-Tools-Package~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x594ac00	\__output
0x5c2ef20	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-DFSN-ServerCore~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0x5d42cd0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ServerDesktopExperience-inetcore~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x5d8a1f0	\Windows\System32\Drivers\en-US\afd.sys.mui
0x5d8a4a0	\Windows\System32\en-US\wer.dll.mui
0x5d8a5f0	\RemCom_stdoutQSnh2207
0x5d8a740	\Windows\assembly\NativeImages_v4.0.30319_64\System.Web.dc83ace6#\1de61d39b83335df8c283c630633c06d\System.Web.Extensions.Design.ni.dll
0x5d8a940	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ServerManager-Migration-Package-drivers~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0x5d8acc0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ServerManager-Migration-Package-drivers~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x5db8070	\Users\Administrator\AppData\Roaming\Microsoft\Windows\Libraries
0x5db85b0	\Windows\System32\en-US\svchost.exe.mui
0x5db8f20	\Windows\assembly\NativeImages_v4.0.30319_64\System.Web.8dc504e4#\ce4c5fb691c616e1079bd8666f05e812\System.Web.ApplicationServices.ni.dll
0x611f900	\Windows\assembly\NativeImages_v4.0.30319_64\System.Web\ec5a72e3c86d04296e37a8433c8c1f10\System.Web.ni.dll
0x6272760	\Windows\System32\en-US\crypt32.dll.mui
0x6272950	\Users\Administrator\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Administrative Tools\desktop.ini
